LENGTH,RSI_LENGTH,RSI_LOWER_BOUND,RSI_UPPER_BOUND,MIN_BOUNCE_BARS,UPPER_MULTIPLIER,LOWER_MULTIPLIER,MIN_SLOPE_VALUE,MIN_TREND_DURATION,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
50,14,20,60,2,3,3,4,30,7.869565217391305,51.38121546961326,181,93,88,991050.2375416888,-0.8949762458311161
50,14,20,60,2,3,3,4,40,6.521739130434782,49.333333333333336,150,74,76,983671.6261100105,-1.6328373889989454
50,14,20,60,2,3,3,4,50,4.826086956521739,47.74774774774775,111,53,58,983648.380105306,-1.6351619894693956
50,14,20,60,2,3,3,4,60,3.217391304347826,47.2972972972973,74,35,39,988166.0349018994,-1.1833965098100596
50,14,20,60,2,3,3,4,70,2.4782608695652173,45.614035087719294,57,26,31,988163.3854972449,-1.183661450275511
50,14,20,60,2,3,3,4,80,1.8695652173913044,41.86046511627907,43,18,25,986543.9346002406,-1.345606539975945
50,14,20,60,2,3,3,5,30,7.608695652173913,52.57142857142857,175,92,83,997028.3615541471,-0.29716384458529066
50,14,20,60,2,3,3,5,40,6.260869565217392,51.388888888888886,144,74,70,992342.5738852115,-0.7657426114788513
50,14,20,60,2,3,3,5,50,4.565217391304348,50.476190476190474,105,53,52,992281.7908096175,-0.7718209190382506
50,14,20,60,2,3,3,5,60,3.0869565217391304,49.29577464788733,71,35,36,992488.5062175631,-0.7511493782436941
50,14,20,60,2,3,3,5,70,2.3043478260869565,45.28301886792453,53,24,29,988466.150507142,-1.1533849492858048
50,14,20,60,2,3,3,5,80,1.7826086956521738,43.90243902439025,41,18,23,989384.6009876551,-1.061539901234489
50,14,20,60,2,3,3,6,30,7.739130434782608,51.68539325842697,178,92,86,992688.4808652562,-0.7311519134743838
50,14,20,60,2,3,3,6,40,6.0,50.0,138,69,69,987589.4433083178,-1.24105566916822
50,14,20,60,2,3,3,6,50,4.3478260869565215,48.0,100,48,52,985961.405988383,-1.403859401161701
50,14,20,60,2,3,3,6,60,3.0,47.82608695652174,69,33,36,989968.0612280855,-1.003193877191446
50,14,20,60,2,3,3,6,70,2.260869565217391,46.15384615384615,52,24,28,989890.580378054,-1.0109419621946056
50,14,20,60,2,3,3,6,80,1.7391304347826086,45.0,40,18,22,990810.3204374288,-0.9189679562571225
50,14,20,60,2,3,3,7,30,7.3478260869565215,50.887573964497044,169,86,83,989439.4817365279,-1.0560518263472127
50,14,20,60,2,3,3,7,40,5.739130434782608,49.24242424242424,132,65,67,985432.0965108384,-1.456790348916163
50,14,20,60,2,3,3,7,50,4.043478260869565,46.236559139784944,93,43,50,982575.8745917598,-1.7424125408240245
50,14,20,60,2,3,3,7,60,2.6956521739130435,46.774193548387096,62,29,33,989291.6122230631,-1.070838777693687
50,14,20,60,2,3,3,7,70,2.0434782608695654,46.808510638297875,47,22,25,991589.5256744551,-0.84104743255449
50,14,20,60,2,3,3,7,80,1.608695652173913,43.24324324324324,37,16,21,989890.3652462461,-1.0109634753753898
50,14,20,60,2,3,3,8,30,7.086956521739131,50.306748466257666,163,82,81,986890.8613803114,-1.3109138619688572
50,14,20,60,2,3,3,8,40,5.3478260869565215,48.78048780487805,123,60,63,984818.7032686047,-1.5181296731395297
50,14,20,60,2,3,3,8,50,3.782608695652174,48.275862068965516,87,42,45,988411.429829126,-1.1588570170874009
50,14,20,60,2,3,3,8,60,2.5217391304347827,48.275862068965516,58,28,30,992315.5178807736,-0.7684482119226362
50,14,20,60,2,3,3,8,70,1.826086956521739,50.0,42,21,21,996191.0284320704,-0.3808971567929606
50,14,20,60,2,3,3,8,80,1.3478260869565217,41.935483870967744,31,13,18,990288.451344162,-0.9711548655838007
50,14,20,60,2,3,3,9,30,6.869565217391305,51.26582278481012,158,81,77,991441.1182838315,-0.8558881716168486
50,14,20,60,2,3,3,9,40,5.043478260869565,48.275862068965516,116,56,60,984181.7244219311,-1.5818275578068919
50,14,20,60,2,3,3,9,50,3.5217391304347827,48.148148148148145,81,39,42,988920.4368303601,-1.1079563169639908
50,14,20,60,2,3,3,9,60,2.347826086956522,50.0,54,27,27,995207.4190677201,-0.47925809322799323
50,14,20,60,2,3,3,9,70,1.7391304347826086,52.5,40,21,19,999077.2433948398,-0.09227566051601899
50,14,20,60,2,3,3,9,80,1.3043478260869565,43.333333333333336,30,13,17,991772.1001797146,-0.8227899820285384
50,14,20,60,2,3,3,10,30,6.391304347826087,53.06122448979592,147,78,69,999316.2689017215,-0.0683731098278542
50,14,20,60,2,3,3,10,40,4.565217391304348,50.476190476190474,105,53,52,991917.6136360231,-0.8082386363976868
50,14,20,60,2,3,3,10,50,3.0434782608695654,50.0,70,35,35,993988.3110882257,-0.6011688911774312
50,14,20,60,2,3,3,10,60,2.0869565217391304,52.083333333333336,48,25,23,998523.4950684446,-0.14765049315553624
50,14,20,60,2,3,3,10,70,1.6521739130434783,52.63157894736842,38,20,18,999263.8435961074,-0.07361564038925572
50,14,20,60,2,3,3,10,80,1.2608695652173914,44.827586206896555,29,13,16,993143.8272706349,-0.6856172729365062
50,14,20,60,3,3,3,4,30,4.6521739130434785,52.336448598130836,107,56,51,997284.7346051864,-0.2715265394813614
50,14,20,60,3,3,3,4,40,3.869565217391304,49.43820224719101,89,44,45,990775.5118504586,-0.9224488149541431
50,14,20,60,3,3,3,4,50,2.8260869565217392,46.15384615384615,65,30,35,988042.0202091346,-1.1957979790865443
50,14,20,60,3,3,3,4,60,1.7391304347826086,45.0,40,18,22,991390.8334142161,-0.8609166585783941
