ATR_PERIOD,ATR_MULTIPLIER,ADX_LENGTH,DI_DIFFERENCE_FILTER,DI_DIFFERENCE_LOOKBACK_PERIOD,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
30,4,10,6,4,2.4368421052631577,51.83585313174947,463,240,223,970498.8326591769,-2.95011673408231
30,4,10,6,5,2.278947368421053,53.11778290993071,433,230,203,981864.9445467611,-1.813505545323889
30,4,10,6,6,2.1473684210526316,53.67647058823529,408,219,189,988247.4410379109,-1.1752558962089126
30,4,10,6,7,2.0157894736842104,54.308093994778076,383,208,175,992471.1892748477,-0.752881072515226
30,4,10,6,8,1.894736842105263,54.72222222222223,360,197,163,996403.543645332,-0.35964563546680145
30,4,10,7,4,2.336842105263158,52.47747747747747,444,233,211,978498.3642059286,-2.1501635794071365
30,4,10,7,5,2.1789473684210527,53.62318840579711,414,222,192,986716.7080724777,-1.328329192752228
30,4,10,7,6,2.0157894736842104,54.04699738903395,383,207,176,991878.6048989992,-0.8121395101000788
30,4,10,7,7,1.8842105263157896,54.18994413407822,358,194,164,991297.2301312417,-0.8702769868758274
30,4,10,7,8,1.763157894736842,54.62686567164179,335,183,152,996912.2133174703,-0.3087786682529724
30,4,10,8,4,2.231578947368421,52.594339622641506,424,223,201,980720.8346192429,-1.9279165380757068
30,4,10,8,5,2.0473684210526315,53.470437017994854,389,208,181,987306.7871394069,-1.2693212860593106
30,4,10,8,6,1.8631578947368421,54.23728813559322,354,192,162,993828.6044855119,-0.6171395514488104
30,4,10,8,7,1.7421052631578948,54.68277945619335,331,181,150,996099.1272596659,-0.39008727403341326
30,4,10,8,8,1.631578947368421,55.80645161290323,310,173,137,1005160.6997642424,0.5160699764242396
30,4,10,9,4,2.1210526315789475,53.101736972704714,403,214,189,984423.2433302992,-1.5576756669700844
30,4,10,9,5,1.931578947368421,54.223433242506815,367,199,168,993903.4221689615,-0.6096577831038507
30,4,10,9,6,1.731578947368421,54.40729483282675,329,179,150,994463.6234272831,-0.5536376572716865
30,4,10,9,7,1.6157894736842104,55.048859934853425,307,169,138,1000004.8469074935,0.0004846907493541949
30,4,10,9,8,1.4947368421052631,55.633802816901415,284,158,126,1004107.0894668415,0.41070894668415425
30,4,10,10,4,1.9789473684210526,53.72340425531915,376,202,174,989811.9521391187,-1.0188047860881313
30,4,10,10,5,1.7473684210526317,55.12048192771084,332,183,149,998582.7634026334,-0.14172365973666312
30,4,10,10,6,1.631578947368421,53.5483870967742,310,166,144,990606.1424322473,-0.9393857567752711
30,4,10,10,7,1.5052631578947369,55.59440559440559,286,159,127,1003212.1436743092,0.3212143674309249
30,4,10,10,8,1.2894736842105263,54.69387755102041,245,134,111,1000218.2579658101,0.021825796581013128
30,4,11,6,4,2.3421052631578947,52.58426966292134,445,234,211,979166.5650037262,-2.0833434996273836
30,4,11,6,5,2.1842105263157894,53.25301204819277,415,221,194,984559.1003676682,-1.54408996323318
30,4,11,6,6,2.0210526315789474,54.166666666666664,384,208,176,992481.1445762112,-0.7518855423788773
30,4,11,6,7,1.8789473684210527,54.061624649859944,357,193,164,990379.4445470164,-0.9620555452983592
30,4,11,6,8,1.8,54.67836257309941,342,187,155,998191.5840602219,-0.18084159397780897
30,4,11,7,4,2.236842105263158,52.23529411764706,425,222,203,977796.0044706868,-2.220399552931322
30,4,11,7,5,2.031578947368421,53.626943005181346,386,207,179,988871.8463782414,-1.1128153621758567
30,4,11,7,6,1.8526315789473684,54.26136363636363,352,191,161,992537.842287439,-0.7462157712560962
30,4,11,7,7,1.768421052631579,55.35714285714286,336,186,150,999574.063439739,-0.04259365602609469
