ATR_PERIOD,ATR_MULTIPLIER,ADX_LENGTH,DI_DIFFERENCE_FILTER,DI_DIFFERENCE_LOOKBACK_PERIOD,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
30,4,10,6,4,2.3157894736842106,51.590909090909086,440,227,213,968569.9634929071,-3.1430036507092884
30,4,10,6,5,2.1736842105263157,53.26876513317191,413,220,193,985008.8477663815,-1.4991152233618543
30,4,10,6,6,2.0526315789473686,53.58974358974359,390,209,181,989746.5970292349,-1.0253402970765135
30,4,10,6,7,1.9263157894736842,53.278688524590166,366,195,171,986135.8664956078,-1.386413350439223
30,4,10,6,8,1.8105263157894738,53.48837209302325,344,184,160,989032.2654220798,-1.0967734577920172
30,4,10,7,4,2.231578947368421,52.12264150943396,424,221,203,976782.1343246244,-2.3217865675375564
30,4,10,7,5,2.0894736842105264,53.40050377833753,397,212,185,987607.2372244898,-1.2392762775510202
30,4,10,7,6,1.931578947368421,53.67847411444142,367,197,170,990676.0242598723,-0.9323975740127731
30,4,10,7,7,1.7947368421052632,53.0791788856305,341,181,160,984558.6245840241,-1.5441375415975926
30,4,10,7,8,1.694736842105263,52.79503105590062,322,170,152,986687.7709175724,-1.331222908242757
30,4,10,8,4,2.1315789473684212,52.59259259259259,405,213,192,982316.7298317252,-1.7683270168274756
30,4,10,8,5,1.9684210526315788,52.94117647058824,374,198,176,985741.3643546001,-1.4258635645399917
30,4,10,8,6,1.7842105263157895,53.392330383480825,339,181,158,989982.1865543135,-1.0017813445686479
30,4,10,8,7,1.668421052631579,52.99684542586751,317,168,149,987063.7866471926,-1.2936213352807449
30,4,10,8,8,1.563157894736842,53.87205387205387,297,160,137,995313.4967326727,-0.4686503267327323
30,4,10,9,4,2.031578947368421,53.36787564766839,386,206,180,988134.7967520747,-1.1865203247925267
30,4,10,9,5,1.8526315789473684,53.40909090909091,352,188,164,990228.2260822476,-0.9771773917752434
30,4,10,9,6,1.6578947368421053,53.01587301587302,315,167,148,986823.3637287582,-1.317663627124182
30,4,10,9,7,1.5421052631578946,53.242320819112635,293,156,137,990361.7099385698,-0.9638290061430191
30,4,10,9,8,1.4263157894736842,53.874538745387454,271,146,125,995452.8658346147,-0.45471341653852726
30,4,10,10,4,1.9,53.46260387811634,361,193,168,990205.1065784645,-0.9794893421535497
30,4,10,10,5,1.6736842105263159,54.088050314465406,318,172,146,994254.1032137271,-0.5745896786272875
30,4,10,10,6,1.5578947368421052,52.02702702702703,296,154,142,982216.4942474806,-1.7783505752519353
30,4,10,10,7,1.4578947368421054,54.51263537906137,277,151,126,998966.1849019188,-0.10338150980812497
30,4,10,10,8,1.2473684210526317,53.16455696202531,237,126,111,994145.7252641883,-0.5854274735811749
30,4,11,6,4,2.231578947368421,52.358490566037744,424,222,202,978447.041936146,-2.155295806385402
30,4,11,6,5,2.094736842105263,53.015075376884425,398,211,187,985156.4545484317,-1.4843545451568323
30,4,11,6,6,1.936842105263158,53.53260869565217,368,197,171,989697.3739907318,-1.030262600926822
30,4,11,6,7,1.7947368421052632,53.3724340175953,341,182,159,986969.1872768102,-1.3030812723189824
30,4,11,6,8,1.731578947368421,52.88753799392097,329,174,155,988221.576416413,-1.177842358358705
30,4,11,7,4,2.136842105263158,52.21674876847291,406,212,194,978981.5091115437,-2.101849088845635
30,4,11,7,5,1.9526315789473685,53.09973045822103,371,197,174,987490.4043967527,-1.250959560324729
30,4,11,7,6,1.7736842105263158,53.41246290801187,337,180,157,988488.3530543948,-1.1511646945605172
30,4,11,7,7,1.6894736842105262,53.58255451713395,321,172,149,989940.2270374061,-1.0059772962593938
30,4,11,7,8,1.5789473684210527,53.0,300,159,141,990042.4080351805,-0.9957591964819469
30,4,11,8,4,2.042105263157895,52.83505154639175,388,205,183,983677.0438592724,-1.632295614072762
30,4,11,8,5,1.8157894736842106,53.62318840579711,345,185,160,991161.5486150229,-0.8838451384977088
30,4,11,8,6,1.6789473684210525,53.29153605015674,319,170,149,988709.2739326649,-1.1290726067335113
30,4,11,8,7,1.5526315789473684,53.22033898305085,295,157,138,990565.234227301,-0.943476577269903
30,4,11,8,8,1.4263157894736842,54.981549815498155,271,149,122,1001961.7387835636,0.19617387835636035
30,4,11,9,4,1.8736842105263158,52.80898876404494,356,188,168,985222.0043662381,-1.4777995633761865
30,4,11,9,5,1.6631578947368422,53.16455696202531,316,168,148,987456.3878436838,-1.2543612156316173
30,4,11,9,6,1.5789473684210527,53.333333333333336,300,160,140,988925.3989584743,-1.1074601041525718
30,4,11,9,7,1.431578947368421,54.41176470588235,272,148,124,998265.746466833,-0.17342535331669495
30,4,11,9,8,1.2578947368421052,52.719665271966534,239,126,113,991798.5353709892,-0.8201464629010762
30,4,11,10,4,1.7210526315789474,52.59938837920489,327,172,155,983550.2847098107,-1.6449715290189255
30,4,11,10,5,1.5578947368421052,52.702702702702695,296,156,140,986142.6464293206,-1.3857353570679436
30,4,11,10,6,1.4421052631578948,53.284671532846716,274,146,128,991218.1647552828,-0.8781835244717193
30,4,11,10,7,1.268421052631579,53.941908713692946,241,130,111,996759.5094168846,-0.32404905831153735
30,4,11,10,8,1.1,53.588516746411486,209,112,97,997600.9577859959,-0.239904221400409
30,4,12,6,4,2.1315789473684212,52.09876543209877,405,211,194,977778.5557946083,-2.2221444205391685
30,4,12,6,5,1.9578947368421054,52.1505376344086,372,194,178,980158.4858508264,-1.984151414917363
30,4,12,6,6,1.8,53.216374269005854,342,182,160,987462.9980391512,-1.2537001960848808
30,4,12,6,7,1.731578947368421,54.1033434650456,329,178,151,994246.5733021147,-0.5753426697885269
30,4,12,6,8,1.6,53.61842105263158,304,163,141,991830.5520764049,-0.8169447923595086
30,4,12,7,4,2.026315789473684,52.72727272727272,385,203,182,983267.9252713657,-1.6732074728634325
30,4,12,7,5,1.8263157894736841,53.02593659942363,347,184,163,986001.325311585,-1.399867468841502
30,4,12,7,6,1.7105263157894737,53.84615384615385,325,175,150,991915.737360032,-0.8084262639967957
30,4,12,7,7,1.5842105263157895,53.48837209302325,301,161,140,991109.5495367643,-0.8890450463235727
30,4,12,7,8,1.4631578947368422,54.31654676258992,278,151,127,998262.870880626,-0.17371291193739744
30,4,12,8,4,1.9,53.46260387811634,361,193,168,989825.1869054304,-1.0174813094569604
30,4,12,8,5,1.694736842105263,54.037267080745345,322,174,148,992864.7579468014,-0.7135242053198628
30,4,12,8,6,1.6105263157894736,53.92156862745098,306,165,141,994351.3278966389,-0.564867210336111
30,4,12,8,7,1.4421052631578948,53.64963503649635,274,147,127,994776.8666074376,-0.5223133392562391
30,4,12,8,8,1.3105263157894738,54.61847389558233,249,136,113,1001075.2681397035,0.10752681397035485
